,question,answer,category,difficulty_level,tags,example_query,explanation,common_mistakes,related_questions
0,"You are given two tables: 'sales' and 'products'. The 'sales' table contains the following columns: 'sale_id', 'product_id', 'quantity', and 'sale_date'. The 'products' table contains 'product_id' and 'product_name'. Write a SQL query to find the total quantity sold for each product, including products that haven't sold any units, and sort the results by total quantity sold in descending order. Display the product name and the total quantity sold","SELECT p.product_name, COALESCE(SUM(s.quantity), 0) AS total_quantity_sold FROM products p LEFT JOIN sales s ON p.product_id = s.product_id GROUP BY p.product_name ORDER BY total_quantity_sold DESC",Data Analyst,intermediate,"Data Analyst, Join, Aggregation, SQL Functions","SELECT p.product_name, COALESCE(SUM(s.quantity), 0) AS total_quantity_sold FROM products p LEFT JOIN sales s ON p.product_id = s.product_id GROUP BY p.product_name ORDER BY total_quantity_sold DESC",Not Available,"This query uses a LEFT JOIN to ensure all products are listed, even if no sales were made for some. The COALESCE function is used to return 0 for products with no sales. The results are grouped by product and sorted by total quantity sold, in descending order","Candidates might forget to use COALESCE, resulting in NULL being shown for products with no sales. They may also forget to use LEFT JOIN, leading to the exclusion of products without sales records"
1,"You are given two tables: 'Sales' and 'Products'. The 'Sales' table contains sales records with columns 'sale_id', 'product_id', 'quantity', and 'sale_date'. The 'Products' table contains product information with columns 'product_id', 'product_name', and 'category'. Write a SQL query to find the top 3 products by quantity sold in each category for the last quarter (assuming the current date is December 31, 2023)","WITH ranked_sales AS ( SELECT p.category, p.product_name, SUM(s.quantity) AS total_quantity, ROW_NUMBER() OVER (PARTITION BY p.category ORDER BY SUM(s.quantity) DESC) AS rank FROM Sales s JOIN Products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-10-01' AND s.sale_date <= '2023-12-31' GROUP BY p.category, p.product_name ) SELECT category, product_name, total_quantity FROM ranked_sales WHERE rank <= 3",SQL,unknown,Advanced,"Data Analyst, Join, Aggregate function, Window function","WITH ranked_sales AS ( SELECT p.category, p.product_name, SUM(s.quantity) AS total_quantity, ROW_NUMBER() OVER (PARTITION BY p.category ORDER BY SUM(s.quantity) DESC) AS rank FROM Sales s JOIN Products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-10-01' AND s.sale_date <= '2023-12-31' GROUP BY p.category, p.product_name ) SELECT category, product_name, total_quantity FROM ranked_sales WHERE rank <= 3",Not Available,"The query first creates a Common Table Expression (CTE) called 'ranked_sales' that ranks products within each category based on the total quantity sold. It uses a window function 'ROW_NUMBER()' to generate ranks. The main query retrieves products that have a rank of 3 or lower, effectively giving the top 3 products per category for the specified date range"
2,"Given two tables, 'employees' (emp_id, emp_name, manager_id) and 'departments' (dept_id, dept_name), write a SQL query to find the names of employees who do not manage anyone and also the names of the departments they belong to. Ensure to use appropriate joins and filtering","SELECT e.emp_name, d.dept_name FROM employees e LEFT JOIN employees m ON e.emp_id = m.manager_id LEFT JOIN departments d ON e.emp_id = d.dept_id WHERE m.manager_id IS NULL",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function",Not Available,This query uses a LEFT JOIN to find employees who do not manage anyone by looking for null matches in the manager table. It then joins to the departments table to gather the department information without needing to filter by managed employees,"Candidates might overlook the need for filtering on the manager_id column or incorrectly reference the join conditions, leading to wrong results"
3,"Given a sales database with two tables: 'Sales' (containing columns such as SaleID, ProductID, Quantity, SaleDate) and 'Products' (containing ProductID, ProductName, Price), write a SQL query to find the total revenue generated for each product in the year 2022. Sort the results by total revenue in descending order and include only products that generated more than $500 in revenue","SELECT p.ProductID, p.ProductName, SUM(s.Quantity * p.Price) AS TotalRevenue FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.SaleDate) = 2022 GROUP BY p.ProductID, p.ProductName HAVING TotalRevenue > 500 ORDER BY TotalRevenue DESC",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join, Group By","SELECT p.ProductID, p.ProductName, SUM(s.Quantity * p.Price) AS TotalRevenue FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.SaleDate) = 2022 GROUP BY p.ProductID, p.ProductName HAVING TotalRevenue > 500 ORDER BY TotalRevenue DESC",Not Available,"This query joins the Sales and Products tables on ProductID. It filters records to include only sales from 2022, calculates total revenue by multiplying Quantity and Price, groups the results by ProductID and ProductName, and filters to show only products with more than $500 in revenue, sorted by total revenue in descending order"
4,"You are tasked with analyzing sales data from two tables: 'sales' (containing transaction records with columns 'sale_id', 'product_id', 'amount', 'sale_date') and 'products' (containing product details with columns 'product_id', 'product_name', 'category'). Write an SQL query to find the total sales amount for each product category for the last quarter of 2023","SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-10-01' AND s.sale_date < '2024-01-01' GROUP BY p.category",SQL,unknown,Intermediate,"[""Data Analyst"", ""Business Intelligence"", ""Join"", ""Aggregate Function""]",Not Available,"This query joins the sales and products tables, filters sales for the last quarter of 2023, and calculates the total sales amount per product category by grouping the results accordingly",Candidates might mistakenly forget to filter the sale_date correctly or overlook the need to join the two tables
5,"You are given two tables: 'employees' and 'departments'. The 'employees' table includes columns 'id', 'name', 'department_id', and 'salary'. The 'departments' table includes 'id' and 'department_name'. Write an SQL query to calculate the average salary of employees in each department, and list the department name alongside the average salary, sorting the results by average salary in descending order","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name ORDER BY average_salary DESC",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name ORDER BY average_salary DESC",Not Available,"This SQL query uses a JOIN to combine the 'employees' and 'departments' tables on the 'department_id' and 'id' fields, respectively. It then calculates the average salary per department by using the AVG() aggregate function and groups the results by department name before sorting them in descending order based on the average salary"
6,"Given two tables, `employees` and `departments`, write an SQL query to find the average salary of employees in each department, but only for departments where the average salary is greater than $50,000. The `employees` table contains columns `id` (employee ID), `name`, `salary`, and `department_id`, and the `departments` table contains `id` (department ID) and `department_name`. Sort the results by department name in ascending order","WITH AvgSalaries AS (SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING AVG(e.salary) > 50000) SELECT department_name, average_salary FROM AvgSalaries ORDER BY department_name ASC","Basic data is aggregated from the employees table and joined to the departments table, filtering for averages above $50,000, then sorted",intermediate,"[Data Analyst, SQL, Aggregate Function, Join]","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING AVG(e.salary) > 50000 ORDER BY d.department_name","This query utilizes a Common Table Expression (CTE) to first calculate the average salaries filtered by those earning above $50,000 and sorts the final output by department name",Candidates might forget to include the HAVING clause or mistakenly apply the filter in the WHERE clause instead,How would you modify this query to also include the total number of employees per department?
7,"You are given two tables: `employees` and `departments`. The `employees` table has columns: `id`, `name`, `salary`, `department_id`, and the `departments` table has columns: `id`, `department_name`. Write a SQL query to find the department with the highest average salary and the average salary in that department. If there are ties, return all departments sharing that highest average salary. The result should include the department name and the average salary","WITH DepartmentAvg AS ( SELECT d.department_name, AVG(e.salary) AS avg_salary FROM departments d JOIN employees e ON d.id = e.department_id GROUP BY d.department_name ) SELECT department_name, avg_salary FROM DepartmentAvg WHERE avg_salary = (SELECT MAX(avg_salary) FROM DepartmentAvg)",SQL,unknown,Advanced,"[""Join"", ""Aggregate Function"", ""CTE"", ""Data Analyst""]",Not Available,"This SQL query uses a Common Table Expression (CTE) to first calculate the average salaries for each department, and then it selects the department(s) with the highest average salary by comparing against the maximum average salary found","Candidates might overlook the need for a CTE, leading them to write more complex and error-prone queries. Additionally, they might confuse the average calculation and filtering conditions"
8,"You are working for an e-commerce company and need to analyze the sales data to determine the best-selling products over the last quarter. Write a SQL query that returns the product ID, product name, total quantity sold, and total revenue generated for the top 5 products based on total revenue. Assume you have two tables: 'sales' (with columns 'id', 'product_id', 'quantity', 'sale_date', 'price') and 'products' (with columns 'id', 'name')","WITH ProductSales AS (SELECT p.id AS product_id, p.name AS product_name, SUM(s.quantity) AS total_quantity, SUM(s.quantity * s.price) AS total_revenue FROM sales s JOIN products p ON s.product_id = p.id WHERE s.sale_date >= DATEADD(quarter, -1, GETDATE()) GROUP BY p.id, p.name) SELECT * FROM ProductSales ORDER BY total_revenue DESC LIMIT 5",SQL,advanced,"Data Analyst, Aggregate function, JOIN","WITH ProductSales AS (SELECT p.id AS product_id, p.name AS product_name, SUM(s.quantity) AS total_quantity, SUM(s.quantity * s.price) AS total_revenue FROM sales s JOIN products p ON s.product_id = p.id WHERE s.sale_date >= DATEADD(quarter, -1, GETDATE()) GROUP BY p.id, p.name) SELECT * FROM ProductSales ORDER BY total_revenue DESC LIMIT 5","This SQL query uses a Common Table Expression (CTE) to first calculate the total quantity sold and total revenue for each product over the last quarter. Then, it selects the top 5 products based on total revenue using an ORDER BY clause","Candidates might forget to join the tables correctly or might not filter the sales data by quarter, potentially leading to incorrect results",What modifications would you make to include only products that have sold more than 50 units? What if you wanted to analyze the data over the last year instead of the last quarter?
9,"Given a table `Sales` that records sales transactions with columns `TransactionID`, `ProductID`, `CustomerID`, and `SaleDate`, and another table `Products` that includes `ProductID`, `ProductName`, and `Category`. Write an SQL query to determine the top 3 products by total sales amount for each category for the year 2022","WITH SalesByProduct AS ( SELECT p.Category, p.ProductName, SUM(s.Amount) AS TotalSales FROM Products p JOIN Sales s ON p.ProductID = s.ProductID WHERE s.SaleDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY p.Category, p.ProductName ) SELECT Category, ProductName, TotalSales FROM ( SELECT Category, ProductName, TotalSales, ROW_NUMBER() OVER (PARTITION BY Category ORDER BY TotalSales DESC) AS rn FROM SalesByProduct ) AS RankedProducts WHERE rn <= 3 ORDER BY Category, TotalSales DESC",SQL,unknown,Advanced,"SQL, Aggregate function, Window function, CTE","WITH SalesByProduct AS ( SELECT p.Category, p.ProductName, SUM(s.Amount) AS TotalSales FROM Products p JOIN Sales s ON p.ProductID = s.ProductID WHERE s.SaleDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY p.Category, p.ProductName ) SELECT Category, ProductName, TotalSales FROM ( SELECT Category, ProductName, TotalSales, ROW_NUMBER() OVER (PARTITION BY Category ORDER BY TotalSales DESC) AS rn FROM SalesByProduct ) AS RankedProducts WHERE rn <= 3 ORDER BY Category, TotalSales DESC",Not Available,"This query first calculates total sales for each product in each category in the year 2022 using a common table expression (CTE). Then, it uses the `ROW_NUMBER()` window function to rank products by total sales within each category, finally filtering to retain only the top 3 products for each category"
